target_id,goal,indicator_id,indicator
3.c.1,3,3.c.1,"The number of physicians, dentists, nurses and midwives per 10 thous. population"
3.d.1,3,3.d.1,"International Health Regulations (IHR) capacity and health emergency preparedness"
4.1.1.a,4,4.1.1.a,"Results of PIRLS tests - percentage of students achieving at least a minimum proficiency level in reading"
4.1.1.b,4,4.1.1.b,"Results of PISA tests - percentage of students achieving at least a minimum proficiency level in reading"
4.1.1.c,4,4.1.1.c,"Results of PISA tests - percentage of students achieving at least a minimum proficiency level in mathematics"
4.2.1,4,4.2.1,"Percentage of children under 5 years of age with health subjectively evaluated as very good or good"
4.2.2,4,4.2.2,"Participation rate in organized learning (one year before the official primary entry age)"
4.3.1,4,4.3.1,"Participation rate of adults in education and training"
4.4.1,4,4.4.1,"Proportion of youth and adults with information and communications technology (ICT) skills, by type of skill"
4.5.1,4,4.5.1,"Gender parity indices in education"
4.6.1.a,4,4.6.1.a,"Proportion of population achieving at least a fixed level of proficiency in functional literacy"
4.6.1.b,4,4.6.1.b,"Proportion of population achieving at least a fixed level of proficiency in functional numeracy"
4.7.1,4,4.7.1,"Extent to which (i) global citizenship education and (ii) education for sustainable development, including gender equality and human rights, are mainstreamed at all levels in (a) national education policies, (b) curricula, (c) teacher education and (d) student assessment"
4.a.1,4,4.a.1,"Proportion of schools with access to: (a) electricity  (b) the Internet for pedagogical purposes  (c) computers for pedagogical purposes  (d) adapted infrastructure and materials for students with disabilities  (e) basic drinking water  (f) single sex basic sanitation facilities  and (g) basic handwashing facilities"
4.b.1,4,4.b.1,"Volume of official development assistance flows for scholarships"
4.c.1,4,4.c.1,"Proportion of teachers in: (a) pre-primary  (b) primary  (c) lower secondary  and (d) upper secondary education who have received at least the minimum organized teacher training (e.g. pedagogical training) pre-service or in-service required for teaching at the relevant level in a given country"
5.1.1,5,5.1.1,"Whether or not legal frameworks are in place to promote, enforce and monitor equality and non-discrimination on the basis of sex"
5.2.1,5,5.2.1,"Percentage of women aged 18-74 who have experienced physical, sexual or psychological violence from a current or former partner"
5.2.2,5,5.2.2,"Proportion of women and girls aged 15 years and older subjected to sexual violence by persons other than an intimate partner, in the previous 12 months, by age and place of occurrence"
5.3.1,5,5.3.1,"Number of concluded marriages in which the woman on her wedding day was below 18 years"
5.3.2,5,5.3.2,"Proportion of girls and women aged 15-49 years who have undergone female genital mutilation/cutting, by age"
5.4.1,5,5.4.1,"Proportion of time spent on unpaid domestic and care work"
5.5.1,5,5.5.1,"Proportion of seats held by women in national parliaments and local governments"
5.5.2,5,5.5.2,"Proportion of women in managerial positions"
5.6.1,5,5.6.1,"Proportion of women aged 15-49 years who make their own informed decisions regarding sexual relations, contraceptive use and reproductive health care"
5.6.2,5,5.6.2,"Number of countries with laws and regulations that guarantee women and men aged 15 years and older access to sexual and reproductive health care, information and education"
5.a.1.a,5,5.a.1.a,"Propotion of heads of the agricultural holding with ownership (including the joint-ownership by husband/wife and family members) in the total number of heads of agricultural holding"
5.a.1.b,5,5.a.1.b,"Proportion of women among agricultural holders in the total number of agricultural holder"
5.a.2,5,5.a.2,"Proportion of countries where the legal framework (including customary law) guarantees women’s equal rights to land ownership and/or control"
5.b.1,5,5.b.1,"Proportion of individuals who own a mobile telephone"
5.c.1,5,5.c.1,"Proportion of countries with systems to track and make public allocations for gender equality and women’s empowerment"
6.1.1,6,6.1.1,"Proportion of population using safely managed drinking water services"
6.2.1,6,6.2.1,"Proportion of population using safetly managed sanitation services, including a hand-washing facility with soap and water"
6.3.1,6,6.3.1,"Proportion of wastewater safely treated"
6.3.2,6,6.3.2,"Proportion of uniform water bodies with good ambient water quality"
6.4.1,6,6.4.1,"Change in water use efficiency over time"
6.4.2,6,6.4.2,"Level of water stress: freshwater withdrawal as a proportion of available freshwater resources"
6.5.1,6,6.5.1,"Degree of integrated water resources management implementation (0-100)"
6.5.2,6,6.5.2,"Proportion of transboundary basin area with an operational arrangement for water cooperation"
6.6.1,6,6.6.1,"Change in the extent of water-related ecosystems over time"
6.a.1,6,6.a.1,"Amount of water- and sanitation-related official development assistance that is part of a government coordinated spending plan"
6.b.1,6,6.b.1,"Proportion of local administrative units with established and operational policies and procedures for participations of local communities in water and sanitation management"
7.1.1,7,7.1.1,"Proportion of population with access to electricity"
7.1.2,7,7.1.2,"Proportion of population with primary reliance on clean fuels and technology"
7.2.1,7,7.2.1,"Renewable energy share in the gross final energy consumption"
7.3.1,7,7.3.1,"Energy intensity measured in terms of primary energy and gross domestic product (GDP)"
7.a.1,7,7.a.1,"Official Development Assistance for climate change mitigation and adaptation"
7.b.1,7,7.b.1,"Investments in energy efficiency as a percentage of GDP and the amount of foreign direct investment in financial transfer for infrastructure and technology to sustainable development services"
8.1.1,8,8.1.1,"Growth of gross domestic product per capita"
8.2.1,8,8.2.1,"Annual growth rate of real GDP per employed person"
8.3.1,8,8.3.1,"Persons performing unregistered work as the percentage share of the employed (according to LFS)"
8.4.1,8,8.4.1,"Resource productivity"
8.4.2,8,8.4.2,"Domestic material consumption (DMC)"
8.5.1,8,8.5.1,"Average hourly earnings of female and male employees, by occupation and age"
8.5.2,8,8.5.2,"Unemployment rate (according to LFS)"
8.6.1,8,8.6.1,"Proportion of youth (aged 15-24 years) not in education, employment or training"
8.7.1,8,8.7.1,"Proportion and number of children aged 5-17 years engaged in child labour, by sex and age"
8.8.1,8,8.8.1,"The number of injured persons at work per 1000 of the employed (incidence rate of accidents)"
8.8.2,8,8.8.2,"Level of national compliance of labour rights (freedom of association and collective bargaining) based on International Labour Organization (ILO) textual sources and national legislation"
8.9.1,8,8.9.1,"Percentage share of tourism in GDP"
8.9.2,8,8.9.2,"Proportion of jobs in sustainable tourism industries out of total tourism jobs"
8.10.1,8,8.10.1,"Number of commercial bank branches and automated teller machines (ATMs) per 100,000 adults"
8.10.2,8,8.10.2,"Percentage of adults (aged 15 years and more) with an account at a bank or other financial institution"
8.a.1,8,8.a.1,"Aid for Trade commitments"
8.b.1,8,8.b.1,"Existence of a developed and operationalized national strategy for youth employment, as a distinct strategy or as part of a national employment strategy"
9.1.1,9,9.1.1,"Proportion of the rural population who live within 2 km of an all-season road"
9.1.2.a,9,9.1.2.a,"Passenger volume by mode of transport"
9.1.2.b,9,9.1.2.b,"Freight volume by mode of transport"
9.2.1,9,9.2.1,"Manufacturing value added as a proportion of GDP"
9.2.2,9,9.2.2,"Manufacturing employment as a proportion of total employment"
9.3.1,9,9.3.1,"Proportion share of small-scale industries in total industry value added"
9.3.2,9,9.3.2,"Proportion of entities taking bank credits by long-term and current credits"
9.4.1,9,9.4.1,"CO 2 emission per unit of value added"
9.5.1,9,9.5.1,"Gross domestic expenditures on R&D in relation to GDP"
9.5.2,9,9.5.2,"Researchers (in full-time equivalent) per million inhabitants"
9.a.1,9,9.a.1,"Official development assistance to infrastructure"
9.b.1,9,9.b.1,"Proportion of medium and high-tech industry value added in total value added"
9.c.1,9,9.c.1,"Proportion of population covered by a mobile network, by technology"
10.1.1,10,10.1.1,"Annualized average growth rate per capita net disposable income in households"
10.2.1,10,10.2.1,"At-risk-of-poverty rate after social transfers"
10.3.1,10,10.3.1,"Sense of being discriminated against"
10.4.1,10,10.4.1,"Share of compensation of employees in GDP"
10.5.1,10,10.5.1,"Financial Soundness Indicators"
10.6.1,10,10.6.1,"Proportion of members and voting rights of developing countries in international organizations"
10.7.1,10,10.7.1,"Recruitment cost borne by employee as a percentage of monthly income earned in country of destination"
10.7.2,10,10.7.2,"Number of countries with migration policies that facilitate orderly, safe, regular and responsible migration and mobility of people"
10.a.1,10,10.a.1,"Proportion of tariff lines applied to imports from least developed countries/developing countries with zero-tariff"
10.b.1,10,10.b.1,"Total resource flows for development, disaggregated by recipient and donor countries and type of flow (e.g. official development assistance, foreign direct investment and other flows)"
10.c.1,10,10.c.1,"Remittance costs as a percentage of the amount remitted"
11.1.1,11,11.1.1,"Share of total population living in a dwelling with a leaking roof, damp walls, floors or foundation, or rot in window frames or floor"
11.2.1,11,11.2.1,"Proportion of population that has convenient access to public transport, by sex, age and persons with disabilities"
11.3.1,11,11.3.1,"Ratio of land consumption rate to population growth rate"
11.3.2,11,11.3.2,"Proportion of cities with a direct participation structure of civil society in urban planning and management that operate regularly and democratically"
11.4.1,11,11.4.1,"Total expenditure (public and private) per capita spent on the preservation, protection and conservation of all cultural and natural heritage, by type of heritage (curtural, natural, mixed, World Heritag, Centre designation), level of government (national, regional, and local/municipal), type of expenditure (operating expenditure/investment) and type of privite funding (donations in kind, private non profite sector, sponsorship)"
11.5.1,11,11.5.1,"Number of deaths or affected by disaster per 1 million people"
11.5.2,11,11.5.2,"Directed economic loss in relation to global GDP, damage to critical infrastructure and number of disruptions to basic services, attributed ot disasters"
11.6.1,11,11.6.1,"Proportion of municipal waste collected according to the treatment operations to total municipal generated waste collected within a year"
11.6.2,11,11.6.2,"Annual mean levels of fine particulate matter in 12 agglomerations"
11.7.1,11,11.7.1,"Average share of the built-up area of cities that is open space for public use for all, by sex, age and persons with disabilities"
11.7.2,11,11.7.2,"Proportion of persons victim of physical or sexual harassment, by sex and age, disability status and place of occurence, in the previous 12 mounts"
11.a.1,11,11.a.1,"Proportion of population living in cities that implement urban and regional development plans integrating population projections and resource needs by size of cities"
11.b.1,11,11.b.1,"Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030"
11.b.2,11,11.b.2,"Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies"
11.c.1,11,11.c.1,"Proportion of financial support to the least development countries that is allocated to the construction and retrofitting of sustainable, resilient and resource-efficient buildings utilising local materials"
12.1.1,12,12.1.1,"Number of countries with sustainable consumption and production (SCP) national action plans or SCP mainstreamed as a priority or target into national policies"
12.2.1,12,12.2.1,"Resource productivity"
12.2.2,12,12.2.2,"Domestic Material Consumption (DMC)"
12.3.1,12,12.3.1,"(a) Food loss index and (b) food waste index"
12.4.1,12,12.4.1,"Number of parties to international multilateral environmental agreements on hazardous waste, and other chemicals that meet their commitments and obligations in transmitting information as required by each relevant agreement"
12.4.2.a,12,12.4.2.a,"Hazardous waste generated per capita, proportion of hazardous waste treated and by type of treatment"
12.4.2.b,12,12.4.2.b,"Hazardous waste generated per capita, proportion of hazardous waste treated and by type of treatment"
12.5.1,12,12.5.1,"National recycling rate"
12.6.1,12,12.6.1,"The number of the signatories of the Partnership for the Implementation of the SDGs in Poland"
12.7.1,12,12.7.1,"Number of countries implementing sustainable public procurement policies and action plans"
12.8.1,12,12.8.1,"Extent to which (i) global citizenship education and (ii) education for sustainable development (including climate change education) are mainstreamed in (a) national education policies (b) curricula (c) teacher education and (d) student assessment"
12.a.1,12,12.a.1,"Amount of support to developing countries on R&D for sustainable consumption and production (SCP) and environmental sound technologies"
12.b.1,12,12.b.1,"Number of sustainable tourism strategies or policies and implemented action plans, with agreed monitoring and evaluation tools"
12.c.1,12,12.c.1,"Amount of fossil-fuel subsidies per unit of GDP (production and consumption) and as a proportion of total national expenditure on fossil fuels"
13.1.1,13,13.1.1,"Number of deaths or affected by disaster per 1 million people"
13.1.2,13,13.1.2,"Number of countries that adopt and implement national disaster risk reduction strategies in line with the Sendai Framework for Disaster Risk Reduction 2015-2030"
13.1.3,13,13.1.3,"Proportion of local governments that adopt and implement local disaster risk reduction strategies in line with national disaster risk reduction strategies"
13.2.1,13,13.2.1,"Number of countries that have communicated the establishment or operationalisation of an integrated policy/strategy/plan which increases their ability to adapt to the adverse impacts of climate change, and foster climate resilience and low greenhouse gas emissions development in a manner that does not threaten food production (including a national adaptation plan, nationally determined contribution, national communication, biennial update report or other)"
13.3.1,13,13.3.1,"Number of countries that have integrated mitigation, adaptation, impact reduction and early warning into primary, secondary and tertiary curricula"
13.3.2,13,13.3.2,"Number of countries that have communicated the strengthening of institutional, systemic and individual capacity building to implement adaptation, mitigation and technology transfer, and development actions"
13.a.1,13,13.a.1,"Official Development Assistance for climate change mitigation and adaptation"
13.b.1,13,13.b.1,"Number of least developed countries and small island developing States that are receiving specialized support, and amount of support, including finance, technology and capacity building, for mechanisms for raising capacities for effective climate change-related planning and management, including focusing on women, youth, and local and marginalized communities"
14.1.1,14,14.1.1,"Index of Coastal Eutrophication (ICEP) and Floating Plastic Debris Density"
14.2.1,14,14.2.1,"Proportion of national Exclusive Economic Zones managed using ecosystem-based approaches"
14.3.1,14,14.3.1,"Average marine acidity (pH) measured at agreed suite of representative sampling stations"
14.4.1,14,14.4.1,"Proportion of fish stocks within biologically sustainable levels"
14.5.1,14,14.5.1,"Coverage of protected areas in relation to marine areas"
14.6.1,14,14.6.1,"Degree of implementation of international instruments aiming to combat illegal, unreported and unregulated fishing"
14.7.1,14,14.7.1,"Sustainable fisheries as a proportion of GDP in small island developing States, least developed countries and all countries"
14.a.1,14,14.a.1,"Proportion of total research budget allocated to research in the field of marine technology"
14.b.1,14,14.b.1,"Degree of application of a legal/regulatory/ policy/institutional framework which recognizes and protects access rights for small-scale fisheries"
14.c.1,14,14.c.1,"Number of countries making progress in ratifying, accepting and implementing through legal, policy and institutional frameworks, ocean-related instruments that implement international law, as reflected in UNCLOS, for the conservation and sustainable use of the oceans and their resources"
15.1.1,15,15.1.1,"Share of forest land in land area of the country"
15.1.2,15,15.1.2,"Proportion of important sites for terrestrial and freshwater biodiversity that are covered by protected areas, by ecosystem type"
15.2.1,15,15.2.1,"Progress towards sustainable forest management"
15.3.1,15,15.3.1,"Proportion of land that is degraded over total land area"
15.4.1,15,15.4.1,"Coverage by protected areas of important sites for mountain biodiversity"
15.4.2,15,15.4.2,"Mountain Green Cover Index (CBB)"
15.5.1,15,15.5.1,"Red List Index"
15.6.1,15,15.6.1,"Number of countries that have adopted legislative, administrative and policy frameworks to ensure fair and equitable sharing of benefits"
15.7.1,15,15.7.1,"The number of CITES individuals detained by custom officers"
15.8.1,15,15.8.1,"Number of countries adopting relevant national legislation and adequately resourcing the prevention or control of invasive alien species"
15.9.1,15,15.9.1,"Progress towards national targets established in accordance with Aichi Biodiversity Target 2 of the Strategic Plan for Biodiversity 2011-2020"
15.a.1,15,15.a.1,"Official development assistance and public expenditure on conservation and sustainable use of biodiversity and ecosystems"
15.b.1,15,15.b.1,"Official development assistance and public expenditure on conservation and sustainable use of biodiversity and ecosystems"
15.c.1,15,15.c.1,"Proportion of traded wildlife that was poached or illicitly trafficked"
16.1.1,16,16.1.1,"Number of victims of intentional homicide per 100 thous. population"
16.1.2,16,16.1.2,"The number of soldiers killed during observation missions"
16.1.3,16,16.1.3,"Proportion of population subjected to (a) physical violence, (b) psychological violence and (c) sexual violence in the previous 12 months"
16.1.4,16,16.1.4,"Feeling safe in the neighbourhood"
16.2.1,16,16.2.1,"Number of ascertained crimes committed against juveniles"
16.2.2,16,16.2.2,"Number of victims of human trafficking per 100 thous. population"
16.2.3,16,16.2.3,"Number of ascertained crimes committed against sexual freedom of juveniles"
16.3.1,16,16.3.1,"Proportion of victims of violence in the previous 12 months who reported their victimization to competent authorities or other officially recognized conflict resolution mechanisms"
16.3.2,16,16.3.2,"The share of pretrial detainees in the total number of persons in prisons and remand prisons"
16.4.1,16,16.4.1,"Total value of inward and outward illicit financial flows (in current United States dollars)"
16.4.2,16,16.4.2,"Proportion of seized, found or surrendered arms whose illicit origin or context has been traced or established by a competent authority in line with international instruments"
16.5.1,16,16.5.1,"Number of corruptions"
16.5.2,16,16.5.2,"Proportion of businesses who had at least one contact with a public official and who paid a bribe to a public official, or were asked for a bribe by these public officials, during the previous 12 months"
16.6.1,16,16.6.1,"Primary government expenditures as a proportion of original approved budget, by sector (or by budget codes or similar)"
16.6.2,16,16.6.2,"Proportion of population satisfied with their last experience of public services"
16.7.1,16,16.7.1,"Deputies and Senators, by sex and age"
16.7.2,16,16.7.2,"Proportion of population who believe decision-making is inclusive and responsive, by sex, age, disability and population group"
16.8.1,16,16.8.1,"Proportion of members and voting rights of developing countries in international organizations"
16.9.1,16,16.9.1,"Proportion of children under 5 years of age whose births have been registered with a civil authority"
16.10.1,16,16.10.1,"Number of verified cases of killing, kidnapping, enforced disappearance, arbitrary detention and torture of journalists, associated media personnel, trade unionists and human rights advocates in the previous 12 months"
16.10.2,16,16.10.2,"Number of countries that adopt and implement constitutional, statutory and/or policy guarantees for public access to information"
16.a.1,16,16.a.1,"Existence of independent National Human Rights Institutions in compliance with the Paris Principles"
16.b.1,16,16.b.1,"Sense of being discriminated against"
17.1.1,17,17.1.1,"Total government revenue as a proportion of GDP"
17.1.2,17,17.1.2,"Proportion of domestic budget funded by domestic taxes"
17.2.1,17,17.2.1,"Official development assistance as a proportion of gross national income"
17.3.1,17,17.3.1,"Official development assistance (ODA) as a proportion of total domestic budget"
17.3.2,17,17.3.2,"Volume of remittances (in United States dollars) as a proportion of total GDP"
17.4.1,17,17.4.1,"State Treasury debt service as proportion of exports of goods and services"
17.5.1,17,17.5.1,"Number of countries that adopt and implement investment promotion regimes for least developed countries"
17.6.1,17,17.6.1,"Number of science cooperation agreements and programmes"
17.6.2,17,17.6.2,"Fixed Internet broadband subscriptions per 100 inhabitants"
17.7.1,17,17.7.1,"Total amount of approved funding for developing countries to promote the development, transfer, dissemination and diffusion of environmentally sound technologies"
17.8.1,17,17.8.1,"Proportion of individuals aged 16-74 using the Internet in the last 3 months"
17.9.1,17,17.9.1,"Dollar value of financial assistance for developing countries"
17.10.1,17,17.10.1,"Worldwide weighted tariff-average"
17.11.1,17,17.11.1,"Developing countries’ and least developed countries’ share of global exports"
17.12.1,17,17.12.1,"Average tariffs faced by developing countries, least developed countries and small island developing States"
17.13.1.a,17,17.13.1.a,"Macroeconomic Dashboard: GDP per capita in EUR (current prices)"
17.13.1.b,17,17.13.1.b,"Macroeconomic dashboard: Indices of GDP (constant prices) previous year=100"
17.13.1.c,17,17.13.1.c,"Macroeconomic Dashboard: Investment rate"
17.13.1.d,17,17.13.1.d,"Macroeconomic dashboard: Indices of prices of consumer goods and services (previous year=100)"
17.13.1.e,17,17.13.1.e,"Macroeconomic Dashboard: General government debt in relation to GDP"
17.13.1.f,17,17.13.1.f,"Macroeconomic Dashboard: General government result in relation to GDP"
17.14.1,17,17.14.1,"Number of countries with mechanisms in place to enhance policy coherence of sustainable development"
17.15.1,17,17.15.1,"Extent of use of country-owned results frameworks and planning tools by providers of development cooperation"
17.16.1,17,17.16.1,"Number of countries reporting progress in multi-stakeholder development effectiveness monitoring frameworks that support the achievement of the sustainable development goals"
17.17.1,17,17.17.1,"Amount of United States dollars committed to public-private and civil society partnerships"
17.18.1,17,17.18.1,"Proportion of sustainable development indicators produced at the national level with full disaggregation when relevant to the target, in accordance with the Fundamental Principles of Official Statistics"
17.18.2,17,17.18.2,"Number of countries that have national statistical legislation that complies with the Fundamental Principles of Official Statistics"
17.18.3,17,17.18.3,"Number of countries with a National Statistical Plan that is fully funded and under implementation, by source of funding"
17.19.1,17,17.19.1,"Dollar value of all resources made available to strengthen statistical capacity in developing countries"
17.19.2,17,17.19.2,"Number of countries that a) have conducted at least one Population and Housing Census in the last ten years, and b) have achieved 100 per cent birth registration and 80 per cent death registration"
