target_id,goal,indicator_id,indicator
1.D.3,1,1.D.3.reg,"Odsetek gospodarstw domowych oceniających (subiektywnie) swoją sytuację materialną jako raczej złą lub złą"
1.D.4,1,1.D.4.reg,"Liczba osób korzystających ze świadczeń pomocy społecznej na 10 tys. ludności"
1.D.5,1,1.D.5.reg,"Liczba beneficjentów środowiskowej pomocy społecznej na 10 tys. ludności"
1.E.1,1,1.E.1.reg,"Liczba organizacji sektora non-profit na 10 tys. ludności"
1.E.2,1,1.E.2.reg,"Liczba fundacji, stowarzyszeń i organizacji społecznych wpisanych do rejestru REGON na 10 tys. ludności"
1.E.3,1,1.E.3.reg,"Członkostwo w organizacjach non-profit na 10 tys. ludności"
1.F.1,1,1.F.1.reg,"Odsetek osób dorosłych uczestniczących w kształceniu lub szkoleniu (w wieku 25–64 lata)"
1.F.2,1,1.F.2.reg,"Liczba osób bezrobotnych niepełnosprawnych zarejestrowanych w urzędzie pracy"
1.F.3,1,1.F.3.reg,"Wskaźnik zatrudnienia osób niepełnosprawnych w wieku 16-64 lata"
1.G.1,1,1.G.1.reg,"Odsetek mieszkań wyposażonych w łazienkę"
1.G.2,1,1.G.2.reg,"Odsetek budynków mieszkalnych podłączonych do kanalizacji"
1.G.3,1,1.G.3.reg,"Liczba mieszkań, będących w zasobach komunalnych gmin"
1.G.4,1,1.G.4.reg,"Średni dochód uprawniający do uzyskania prawa najmu lokalu mieszkalnego zasobu gminy w gospodarstwach jednoosobowych"
1.G.5,1,1.G.5.reg,"Liczba mieszkań będących w zasobach towarzystw budownictwa społecznego (TBS)"
1.G.6,1,1.G.6.reg,"Liczba mieszkań będących w zasobach gmin (komunalnych)"
1.G.7,1,1.G.7.reg,"Liczba gospodarstw domowych oczekujących na najem socjalny na obszarach miejskich ogółem"
1.G.8,1,1.G.8.reg,"Liczba mieszkań przypadających na 1000 ludności"
2.A.1,2,2.A.1.reg,"Wartość dodana brutto na 1 pracującego w rolnictwie, leśnictwie, łowiectwie i rybactwie (Polska=100)"
2.A.2,2,2.A.2.reg,"Odsetek nowo zarejestrowanych podmiotów sektora przetwórstwa rolno-spożywczego"
2.A.3,2,2.A.3.reg,"Globalna produkcja rolnicza na 1 ha użytków rolnych"
2.B.1,2,2.B.1.reg,"Dynamika globalnej produkcji rolniczej (rok poprzedni = 100)"
2.B.2,2,2.B.2.reg,"Udział towarowej produkcji rolniczej w końcowej produkcji rolniczej"
2.B.3,2,2.B.3.reg,"Udział towarowej produkcji rolniczej w sumie krajowej (w cenach stałych roku poprzedniego)"
2.B.4,2,2.B.4.reg,"Liczba zachorowań na salmonellozę"
2.B.5,2,2.B.5.reg,"Liczba zachorowań na czerwonkę bakteryjną"
2.B.6,2,2.B.6.reg,"Liczba zachorowań na inne bakteryjne zatrucia pokarmowe"
2.B.7,2,2.B.7.reg,"Liczba zachorowań na włośnicę"
2.C.1,2,2.C.1.reg,"Udział powierzchni ekologicznych użytków rolnych z certyfikatem w gospodarstwach ekologicznych w powierzchni użytków rolnych ogółem w gospodarstwach rolnych"
2.C.2,2,2.C.2.reg,"Udział powierzchni ekologicznych gospodarstw rolnych w użytkach rolnych ogółem"
2.D.1,2,2.D.1.reg,"Zużycie nawozów mineralnych na 1 ha użytków rolnych wg nowej definicji"
2.D.2,2,2.D.2.reg,"Zużycie nawozów wapniowych na 1 ha użytków rolnych wg nowej definicji"
2.E.1,2,2.E.1.reg,"Nakłady na B+R w sektorze przedsiębiorstw w produkcji artykułów spożywczych"
2.E.2,2,2.E.2.reg,"Nakłady na B+R w dziedzinie rolnictwa w relacji do PKB"
3.A.1,3,3.A.1.reg,"Liczba lekarzy (pracujących wg podstawowego miejsca pracy) na 10 tys. ludności"
3.A.2,3,3.A.2.reg,"Liczba dentystów (pracujących wg podstawowego miejsca pracy) na 10 tys."
3.A.3,3,3.A.3.reg,"Liczba pielęgniarek i położnych (pracujących wg podstawowego miejsca pracy) na 10 tys. ludności"
3.A.4,3,3.A.4.reg,"Zespoły ratownictwa medycznego na 100 tys. ludności"
3.A.5,3,3.A.5.reg,"Liczba pacjentów w zakładach pielęgnacyjno-opiekuńczych na 10 tys. ludności"
3.A.6,3,3.A.6.reg,"Pacjenci w zakładach opiekuńczo-leczniczych na 10 tys. ludności"
3.A.7,3,3.A.7.reg,"Pacjenci w hospicjach na 10 tys. ludności"
3.B.1,3,3.B.1.reg,"Liczba łóżek w hospicjach, zakładach opiekuńczo-leczniczych i zakładach pielęgnacyjno-opiekuńczych na 100 tys. ludności"
3.B.2,3,3.B.2.reg,"Średnia liczba łóżek w szpitalach uzdrowiskowych i sanatoriach uzdrowiskowych "
3.B.3,3,3.B.3.reg,"Przychodnie na 10 tys. ludności"
3.B.4,3,3.B.4.reg,"Liczba łóżek w szpitalach ogólnych na 10 tys. ludności"
3.C.1,3,3.C.1.reg,"Liczba lekarzy specjalistów ogółem w przeliczeniu na 10 tys. ludności"
3.C.2,3,3.C.2.reg,"Liczba zgonów z powodu chorób układu krążenia ogółem na 100 tys. ludności"
3.C.3,3,3.C.3.reg,"Liczba zgonów z powodu nowotworów ogółem na 100 tys. ludności"
3.C.4,3,3.C.4.reg,"Liczba zgonów z powodu zaburzeń psychicznych i zaburzeń zachowania na 100 tys. ludności"
3.C.5,3,3.C.5.reg,"Liczba zgonów kobiet z powodu nowotworu szyjki macicy na 100 tys. kobiet"
3.C.6,3,3.C.6.reg,"Liczba zgonów z powodu chorób układu oddechowego ogółem na 100 tys. ludności"
3.C.7,3,3.C.7.reg,"Liczba zgonów z powodu chorób układu trawiennego ogółem na 100 tys. ludności"
3.D.1,3,3.D.1.reg,"Studenci kierunków medycznych"
3.D.2,3,3.D.2.reg,"Absolwenci kierunków medycznych"
3.D.3,3,3.D.3.reg,"Uczniowie szkół policealnych łącznie z kolegiami pracowników służb społecznych - podgrupa kształcenia - medyczna"
3.D.4,3,3.D.4.reg,"Uczestnicy studiów podyplomowych na kierunkach medycznych"
3.D.5,3,3.D.5.reg,"Uczestnicy studiów doktoranckich i doktorskich uczelni nadzorowanych przez ministra właściwego do spraw zdrowia"
3.E.1,3,3.E.1.reg,"Przeciętne trwanie życia mężczyzn"
3.E.2,3,3.E.2.reg,"Przeciętne trwanie życia kobiet"
3.E.3,3,3.E.3.reg,"Oczekiwane trwanie życia w zdrowiu mężczyzn"
3.E.4,3,3.E.4.reg,"Oczekiwane trwanie życia w zdrowiu kobiet"
3.E.5,3,3.E.5.reg,"Liczba zachorowań na grypę i podejrzenia zachorowań na grypę na 100 mieszkańców"
3.E.6,3,3.E.6.reg,"Liczba zachorowań na bakteryjne zapalenie opon mózgowych i/lub mózgu na 100 tys. ludności"
3.E.7,3,3.E.7.reg,"Liczba zachorowań na wirusowe zapalenie wątroby typu C na 100 tys. ludności"
3.E.8,3,3.E.8.reg,"Liczba zachorowań na inwazyjne zakażenia - Streptococcus pneumoniae na 10 tys. ludności"
3.E.9,3,3.E.9.reg,"Liczba zachorowań na boreliozę na 10 tys. ludności"
3.E.10,3,3.E.10.reg,"Liczba porad lekarskich w podstawowej opiece zdrowotnej na 1 mieszkańca"
3.E.11,3,3.E.11.reg,"Liczba porad lekarskich w ambulatoryjnej opiece zdrowotnej na 1 mieszkańca"
3.E.12,3,3.E.12.reg,"Liczba porad specjalistycznych udzielonych w ramach ambulatoryjnej opieki zdrowotnej na 1 mieszkańca"
3.E.13,3,3.E.13.reg,"Liczba dni pobytu dzieci i młodzieży w wieku 0-18 w szpitalach uzdrowiskowych i sanatoriach uzdrowiskowych"
3.E.14,3,3.E.14.reg,"Ćwiczący w klubach sportowych na 1 tys. ludności"
3.E.15,3,3.E.15.reg,"Odsetek obiektów rekreacyjno-sportowych przystosowanych do potrzeb osób niepełnosprawnych (ćwiczących)"
3.E.16,3,3.E.16.reg,"Pacjenci/kuracjusze leczeni stacjonarnie w szpitalach uzdrowiskowych i sanatoryjnych zakładach rehabilitacji leczniczej"
3.E.17,3,3.E.17.reg,"Pacjenci/kuracjusze leczeni ambulatoryjnie w zakładach lecznictwa uzdrowiskowego i stacjonarnych zakładach rehabilitacji leczniczej"
3.F.1,3,3.F.1.reg,"Powierzchnia dzikich wysypisk na 100 km2 powierzchni ogółem"
3.F.2,3,3.F.2.reg,"Udział terenów zieleni w powierzchni ogółem"
3.F.3,3,3.F.3.reg,"Emisja zanieczyszczeń gazowych na 1 mieszkańca"
3.F.4,3,3.F.4.reg,"Emisja zanieczyszczeń pyłowych na 1 mieszkańca"
3.F.5,3,3.F.5.reg,"Udział ludności mieszkającej na terenach objętych procesami rewitalizacji w ogólnej liczbie ludności"
3.G.1,3,3.G.1.reg,"Wyjazdy zespołów ratownictwa medycznego na miejsce zdarzenia"
3.G.2,3,3.G.2.reg,"Osoby, którym udzielono świadczenia zdrowotnego w miejscu zdarzenia na 1 000 ludności"
4.A.1,4,4.A.1.reg,"Udział absolwentów branżowych szkół I i II stopnia w ogólnej liczbie absolwentów szkół ponadpodstawowych (branżowych szkół I i II stopnia, techników i liceów ogólnokształcących)"
4.A.2,4,4.A.2.reg,"Udział absolwentów techników w ogólnej liczbie absolwentów szkół ponadpodstawowych (branżowych szkół I i II stopnia, techników i liceów ogólnokształcących)"
4.A.3,4,4.A.3.reg,"Średnia liczba uczniów przypadająca na etat nauczyciela w branżowych szkołach I i II stopnia"
4.A.4,4,4.A.4.reg,"Średnia liczba uczniów przypadająca na etat nauczyciela w technikach"
4.B.1,4,4.B.1.reg,"Odsetek studentów z niepełnosprawnościami"
4.B.2,4,4.B.2.reg,"Liczba studentów otrzymujących stypendium dla osób z niepełnosprawnościami"
4.B.3,4,4.B.3.reg,"Liczba uczniów niepełnosprawnych indywidualnie nauczanych w szkołach podstawowych"
4.C.1,4,4.C.1.reg,"Liczba szkół podstawowych ogółem na 1 tys. uczniów"
4.C.2,4,4.C.2.reg,"Liczba szkół ogólnokształcących ogółem na 1 tys. uczniów"
4.C.3,4,4.C.3.reg,"Liczba zasadniczych szkół zawodowych i branżowych ogółem na 1 tys. uczniów"
4.D.1,4,4.D.1.reg,"Odsetek dzieci w wieku 3-5 lat objętych wychowaniem przedszkolnym"
4.D.2,4,4.D.2.reg,"Zdawalność egzaminu maturalnego"
4.D.3,4,4.D.3.reg,"Zdawalność egzaminu maturalnego (Polska=100)"
4.D.4,4,4.D.4.reg,"Średnia liczba uczniów przypadająca na etat nauczyciela w szkołach podstawowych dla dzieci i młodzieży"
4.D.5,4,4.D.5.reg,"Średnia liczba uczniów przypadająca na etat nauczyciela w liceach ogólnokształcących dla młodzieży"
4.D.6,4,4.D.6.reg,"Studenci uczelni na 10 tys. ludności"
4.E.1,4,4.E.1.reg,"Odsetek osób dorosłych uczestniczących w kształceniu lub szkoleniu (w wieku 25–64 lata)"
4.E.2,4,4.E.2.reg,"Liczba absolwentów uczelni wyższych na 10 tys. ludności"
4.E.3,4,4.E.3.reg,"Liczba słuchaczy studiów podyplomowych i uczestników studiów doktoranckich na 1 tys. ludności w wieku produkcyjnym i poprodukcyjnym"
4.F.1,4,4.F.1.reg,"Odsetek absolwentów uczelni na kierunkach technicznych i przyrodniczych (bez cudzoziemców) – według klasyfikacji ISCED-F 2013"
4.F.2,4,4.F.2.reg,"Młodzież kontynuująca naukę w wieku 18-24 lata"
4.G.1,4,4.G.1.reg,"Odsetek uczestników zajęć w placówkach wychowania pozaszkolnego ogółem"
4.G.2,4,4.G.2.reg,"Odsetek uczestników zajęć informatycznych w placówkach wychowania pozaszkolnego"
4.G.3,4,4.G.3.reg,"Odsetek uczestników zajęć technicznych w placówkach wychowania pozaszkolnego"
4.G.4,4,4.G.4.reg,"Odsetek uczestników zajęć sportowych w placówkach wychowania pozaszkolnego"
4.G.5,4,4.G.5.reg,"Odsetek osób posiadających podstawowe lub ponadpodstawowe umiejętności cyfrowe"
